City,Total_Population,0-14,15-65,65<
ADANA,2 274 106, 539 247,1 523 411, 211 448
ADIYAMAN, 635 169, 177 617, 404 271, 53 281
AFYONKARAHİSAR, 747 555, 155 692, 503 604, 88 259
AĞRI, 510 626, 168 409, 314 555, 27 662
AKSARAY, 433 055, 102 218, 288 476, 42 361
AMASYA, 338 267, 59 219, 226 126, 52 922
ANKARA,5 782 285,1 138 230,4 088 670, 555 385
ANTALYA,2 688 004, 547 609,1 889 139, 251 256
ARDAHAN, 92 481, 18 012, 61 158, 13 311
ARTVİN, 169 403, 26 554, 112 522, 30 327
AYDIN,1 148 241, 210 172, 771 478, 166 591
BALIKESİR,1 257 590, 202 573, 848 000, 207 017
BARTIN, 203 351, 31 546, 139 777, 32 028
BATMAN, 634 491, 202 792, 401 336, 30 363
BAYBURT, 84 241, 15 716, 58 496, 10 029
BİLECİK, 228 673, 41 514, 159 602, 27 557
BİNGÖL, 282 556, 72 230, 188 184, 22 142
BİTLİS, 353 988, 109 466, 223 993, 20 529
BOLU, 320 824, 54 392, 219 850, 46 582
BURDUR, 273 799, 44 088, 185 953, 43 758
BURSA,3 194 720, 664 472,2 208 914, 321 334
ÇANAKKALE, 559 383, 86 617, 382 499, 90 267
ÇANKIRI, 195 766, 33 478, 128 931, 33 357
ÇORUM, 524 130, 95 105, 343 599, 85 426
DENİZLİ,1 056 332, 201 086, 729 101, 126 145
DİYARBAKIR,1 804 880, 571 682,1 140 208, 92 990
DÜZCE, 405 131, 80 716, 279 762, 44 653
EDİRNE, 414 714, 60 612, 287 100, 67 002
ELAZIĞ, 591 497, 125 472, 401 774, 64 251
ERZİNCAN, 239 223, 44 361, 163 312, 31 550
ERZURUM, 749 754, 181 783, 496 352, 71 619
ESKİŞEHİR, 906 617, 157 332, 637 164, 112 121
GAZİANTEP,2 154 051, 663 463,1 366 161, 124 427
GİRESUN, 450 862, 70 087, 299 764, 81 011
GÜMÜŞHANE, 144 544, 24 154, 99 881, 20 509
HAKKARİ, 275 333, 76 409, 187 847, 11 077
HATAY,1 686 043, 445 780,1 102 478, 137 785
IĞDIR, 203 594, 56 833, 131 439, 15 322
ISPARTA, 445 325, 78 984, 304 326, 62 015
İSTANBUL,15 907 951,3 263 822,11 433 263,1 210 866
İZMİR,4 462 056, 793 333,3 115 345, 553 378
KAHRAMANMARAŞ,1 177 436, 307 981, 764 905, 104 550
KARABÜK, 252 058, 38 625, 177 467, 35 966
KARAMAN, 260 838, 54 363, 176 537, 29 938
KARS, 274 829, 69 415, 180 431, 24 983
KASTAMONU, 378 115, 58 181, 246 806, 73 128
KAYSERİ,1 441 523, 326 238, 976 140, 139 145
KİLİS, 147 919, 40 881, 95 119, 11 919
KIRIKKALE, 277 046, 49 038, 191 084, 36 924
KIRKLARELİ, 369 347, 56 256, 256 439, 56 652
KIRŞEHİR, 244 519, 46 154, 166 404, 31 961
KOCAELİ,2 079 072, 467 085,1 445 554, 166 433
KONYA,2 296 347, 522 865,1 540 178, 233 304
KÜTAHYA, 580 701, 95 781, 403 803, 81 117
MALATYA, 812 580, 176 728, 545 210, 90 642
MANİSA,1 468 279, 289 127, 998 816, 180 336
MARDİN, 870 374, 282 630, 538 051, 49 693
MERSİN,1 916 432, 424 868,1 295 941, 195 623
MUĞLA,1 048 185, 179 809, 728 038, 140 338
MUŞ, 399 202, 129 337, 246 878, 22 987
NEVŞEHİR, 310 011, 61 453, 209 970, 38 588
NİĞDE, 365 419, 80 962, 244 986, 39 471
ORDU, 763 190, 137 487, 506 378, 119 325
OSMANİYE, 559 405, 140 510, 366 904, 51 991
RİZE, 344 016, 60 434, 235 349, 48 233
SAKARYA,1 080 080, 222 060, 743 772, 114 248
SAMSUN,1 368 488, 260 497, 932 718, 175 273
ŞANLIURFA,2 170 110, 833 891,1 246 531, 89 688
SİİRT, 331 311, 107 461, 205 934, 17 916
SİNOP, 220 799, 34 488, 141 617, 44 694
ŞIRNAK, 634 924, 123 468, 423 732, 87 724
SİVAS, 557 605, 192 184, 345 809, 19 612
TEKİRDAĞ,1 142 451, 237 773, 796 318, 108 360
TOKAT, 596 454, 109 139, 396 725, 90 590
TRABZON, 818 023, 154 727, 551 045, 112 251
TUNCELİ, 84 366, 12 276, 58 693, 13 397
UŞAK, 375 454, 67 242, 258 839, 49 373
VAN,1 128 749, 358 439, 718 327, 51 983
YALOVA, 296 333, 57 238, 200 956, 38 139
YOZGAT, 418 442, 79 627, 278 736, 60 079
ZONGULDAK, 588 510, 95 516, 407 812, 85 182
