City,Latitude,Longitude
ADANA,36.98451,35.33368
ADIYAMAN,37.75545,38.27349
AFYONKARAHİSAR,38.75812,30.53685
AĞRI,39.71467,43.04015
AMASYA,40.65157,35.82666
ANKARA,39.93834,32.84785
ANTALYA,36.9071,30.69625
ARTVİN,41.17899,41.84118
AYDIN,37.84074,27.8377
BİLECİK,40.14666,29.98239
BİNGÖL,38.88375,40.48722
BİTLİS,38.39966,42.11696
BOLU,40.74116,31.58541
BURDUR,37.72042,30.28324
BURSA,40.1965,29.05892
ÇANAKKALE,40.1238,26.41927
ÇANKIRI,40.59099,33.61019
ÇORUM,40.55264,34.94865
DİYARBAKIR,37.92408,40.21252
EDİRNE,41.67613,26.54349
ELAZIĞ,38.66775,39.2069
ERZİNCAN,39.74847,39.47915
ERZURUM,39.89821,41.26916
ESKİŞEHİR,39.76853,30.49444
GAZİANTEP,37.06705,37.36819
GİRESUN,40.89198,38.40736
GÜMÜŞHANE,40.45843,39.47826
HAKKARİ,37.57467,43.77777
HATAY,36.19888,36.15889
ISPARTA,37.7831,30.55273
MERSİN,36.82176,34.65442
KARS,40.61782,43.11538
KASTAMONU,41.37001,33.74033
KAYSERİ,38.72229,35.48863
KIRKLARELİ,41.73592,27.21886
KIRŞEHİR,39.14643,34.15977
KOCAELİ,40.78106,29.93813
KONYA,37.84396,32.50443
KÜTAHYA,39.43472,29.99486
MALATYA,38.34699,38.32874
MANİSA,38.62227,27.43366
KAHRAMANMARAŞ,37.57726,36.9277
MARDİN,37.31229,40.73779
MUĞLA,37.20346,28.35162
MUŞ,38.74197,41.49744
NEVŞEHİR,38.6204,34.70958
NİĞDE,37.97004,34.67665
ORDU,40.95363,37.89751
RİZE,41.00995,40.48769
SAKARYA,40.78056,30.39999
SAMSUN,41.2887,36.29387
SİİRT,37.92836,41.93528
SİVAS,39.73847,37.01477
TEKİRDAĞ,40.96786,27.46682
TOKAT,40.31415,36.55247
TRABZON,40.98554,39.68653
TUNCELİ,39.09921,39.54351
ŞANLIURFA,37.15359,38.78604
UŞAK,38.67029,29.40225
VAN,38.49456,43.38323
YOZGAT,39.81411,34.78552
ZONGULDAK,41.44075,31.81232
AKSARAY,38.37285,34.01409
BAYBURT,40.25631,40.22289
KARAMAN,37.18275,33.21599
KIRIKKALE,39.86353,33.49583
BATMAN,37.88786,41.13062
ŞIRNAK,37.52226,42.45676
BARTIN,41.63003,32.32773
ARDAHAN,41.11366,42.70139
IĞDIR,39.91587,44.06226
YALOVA,40.63699,29.25493
KARABÜK,41.18997,32.6065
KİLİS,36.71558,37.11333
OSMANİYE,37.05238,36.26564
DÜZCE,40.80805,31.14011
İSTANBUL,41.02196,29.01079
İZMİR,38.41026,27.15296
SİNOP,42.0246,35.14104
BALIKESİR,39.65054,27.89536
DENİZLİ,37.77153,29.09075
